鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
林口區,房地(土地+建物),新北市林口區文林一街８５號,173.03,住,,,1130903,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0970326,229.94,4,2,2,有,無,22500000,97852,,0.0,0,,RPWNMLNKRHJGFBF88DA,177.46,7.33,45.15,無,
汐止區,房地(土地+建物)+車位,新北市汐止區仁愛路２０７號九樓,21.59,住,,,1130908,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950811,234.05,4,2,2,有,有,27200000,116214,坡道平面,43.44,0,,RPQNMLTJRHJGFDF98DA,106.01,0.0,19.11,有,
蘆洲區,土地,九芎段657地號,64.58,住,,,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15240000,235986,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVOMLKKRHJGFGF09DA,0.0,0.0,0.0,無,0019
蘆洲區,土地,樹德段109地號,8.05,住,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,74534,,0.0,0,法定空地買賣,RPROMLSKRHJGFGF86DA,0.0,0.0,0.0,無,
三峽區,土地,大埔一段276地號,17.43,,一般農業區,丁種建築用地,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,248000,14228,,0.0,0,親友交易,RPXNMLPJRHJGFIF17DA,0.0,0.0,0.0,無,0020
樹林區,土地,南園段513地號,139.03,,一般農業區,農牧用地,1130906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,35963,,0.0,0,,RPPNMLQJRHJGFIF09DA,0.0,0.0,0.0,無,0021
樹林區,土地,南園段513地號,139.03,,一般農業區,農牧用地,1130906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,35963,,0.0,0,,RPQNMLQJRHJGFIF56DA,0.0,0.0,0.0,無,0021
鶯歌區,土地,中正段700地號,128.0,商,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,21000000,164063,,0.0,0,,RPRNMLLKRHJGFIF88DA,0.0,0.0,0.0,無,
鶯歌區,土地,中正段699地號,104.0,商,,,1130905,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17000000,163462,,0.0,0,,RPTNMLLKRHJGFIF09DA,0.0,0.0,0.0,無,0023
三峽區,土地,介壽段10-15地號,58.25,住,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6650000,114163,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLLKRHJGFIF98DA,0.0,0.0,0.0,無,
三峽區,土地,介壽段10-24地號,35.25,住,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4030000,114326,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLLKRHJGFIF56DA,0.0,0.0,0.0,無,
樹林區,車位,新北市樹林區博愛街８１號等,0.0,,,,1130909,土地0建物1車位1,,,其他,,,,18.17,0,0,0,無,有,1080000,,坡道機械,18.17,1080000,建物坐落地號：博愛段57地號；僅車位交易；,RPQNMLNKRHJGFIF98DA,0.0,0.0,0.0,有,0024
新店區,土地,青潭段四十分小段475-30地號,16.57,,山坡地保育區,林業用地,1130910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,350000,21123,,0.0,0,,RPPNMLQKRHJGFCF68EA,0.0,0.0,0.0,無,
金山區,土地,中角段大水堀小段125地號,3305.78,,山坡地保育區,農牧用地,1130910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,28500000,8621,,0.0,0,,RPPNMLQKRHJGFDF78EA,0.0,0.0,0.0,無,
新店區,土地,寶元段7地號,22.43,工,,,1130903,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3525600,157182,,0.0,0,,RPQQMLMJRHJGFCF48DA,0.0,0.0,0.0,無,
新店區,房地(土地+建物)+車位,新北市新店區秀岡二街８巷１８號,488.66,住,,,1130908,土地12建物1車位2,全,三層,透天厝,住家用,鋼筋混凝土造,1070331,328.87,4,2,4,有,有,55000000,167239,一樓平面,0.0,0,,RPXPMLTJRHJGFCF17DA,285.95,23.66,19.26,有,
金山區,房地(土地+建物)+車位,新北市金山區中華路９６號二樓之２,32.62,住,,,1130901,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1100611,109.69999999999999,2,2,2,有,無,6800000,61987,坡道機械,7.68,0,車位備註:目前尚未啟用,RPXNMLNKRHJGFDF56DA,57.78,5.4,4.67,有,
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路三段３３２號二十七樓,9.78,商,,,1130904,土地1建物1車位1,二十七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229,139.57999999999998,2,2,1,有,有,11500000,82390,坡道平面,30.84,0,,RPXRMLNKRHJGFEF07DA,60.92,8.21,5.14,有,
