鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
三民區,租賃房屋,高雄市三民區正忠路２６９之１號４樓之４,0.0,,,,1130806,土地0建物1車位0,四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840509,70.51,2,2,1,有,有,有,16000,227,,0.0,0,租金總額含管理費；,RPTNMLOKQHJGFDE78CC,整棟(戶)出租,有,1130901~1140831,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
三民區,租賃房屋,高雄市三民區鼎祥街４７之２號４樓,0.0,,,,1130807,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851126,111.61000000000001,3,2,2,有,有,有,9000,81,,0.0,0,此為高雄市政府社會住宅包租代管計畫。,RPUNMLOKQHJGFDE88CC,整棟(戶)出租,有,1130808~1140614,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
三民區,租賃房屋,高雄市三民區寶興路８２之１７號４樓,0.0,,,,1130801,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860419,142.01,3,1,2,有,有,有,18000,127,,0.0,0,,RPVNMLOKQHJGFDE98CC,整棟(戶)出租,有,1130831~1140830,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
三民區,租賃房屋,高雄市三民區鼎貴路６２巷５弄１號,0.0,,,,1130805,土地0建物0車位0,全,2,透天厝,,鋼筋混凝土造,0751114,16.53,10,0,10,有,無,有,4000,242,,0.0,0,,RPWNMLOKQHJGFDE09CC,分租套房,無,1130805~1140804,無,冷氣、熱水器、電視機、冰箱,
三民區,租賃房屋,高雄市三民區覺民路６４１號,0.0,,,,1130812,土地0建物0車位0,全,5,透天厝,住商用,鋼筋混凝土造,0940930,52.77,11,0,10,有,無,有,6000,114,,0.0,0,,RPXNMLOKQHJGFDE56CC,分租套房,無,1130915~1140914,無,冷氣、電視機、冰箱、有線電視,一般代管
三民區,租賃房屋,高雄市三民區建興路８７號,0.0,,,,1130812,土地0建物0車位0,全,5,透天厝,：店舖，住宅，樓梯間，停車空間,鋼筋混凝土造,0950517,48.16,10,0,10,有,無,有,8000,166,,0.0,0,,RPOOMLOKQHJGFDE38CC,分租套房,無,1131101~1141031,無,冷氣、熱水器、冰箱,一般代管
三民區,租賃房屋,高雄市三民區建國三路８３號９樓之７,0.0,,,,1130802,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0791227,31.18,1,0,1,有,有,有,6500,208,,0.0,0,,RPPOMLOKQHJGFDE48CC,獨立套房,有,1130805~1140804,有,冷氣、熱水器、電視機、冰箱,社會住宅包租轉租
三民區,租賃房屋+車位,高雄市三民區自立一路８５巷２２號１１樓,0.0,,,,1130813,土地0建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871113,120.62,3,2,2,有,有,有,20000,166,坡道平面,21.45,0,,RPQOMLOKQHJGFDE58CC,整棟(戶)出租,有,1130915~1140714,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,
楠梓區,租賃房屋+車位,高雄市楠梓區大學西路７１號１１樓,0.0,,,,1130811,土地0建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120823,145.32,2,2,2,有,有,有,27000,186,坡道平面,24.78,0,租金總額含管理費；,RPPNMLOKQHJGFEE48CC,整棟(戶)出租,有,1130815~1140814,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
左營區,租賃房屋+車位,高雄市左營區鼓山三路３９１號５樓之７,0.0,,,,1130808,土地0建物1車位1,五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1110329,123.78999999999999,2,2,2,有,有,無,18100,146,坡道平面,31.96,0,,RPQNMLOKQHJGFEE58CC,整棟(戶)出租,有,1130820~1140719,有,,
左營區,租賃房屋+車位,高雄市左營區文學路２６７號九樓之２,0.0,,,,1130801,土地0建物1車位1,九層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1071031,129.06,2,2,1,有,有,有,32000,248,坡道平面,36.24,0,多人共同承租2；租金總額含管理費；,RPRNMLOKQHJGFEE68CC,整棟(戶)出租,有,1130805~1140804,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
左營區,租賃房屋,高雄市左營區榮總路２６７號,0.0,,,,1130809,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0970701,91.95,0,0,0,無,無,無,12000,131,,0.0,0,,RPSNMLOKQHJGFEE78CC,,無,1130809~1140808,無,,
左營區,租賃房屋+車位,高雄市左營區明倫路８５號,0.0,,,,1130723,土地0建物1車位1,一層,14,店面(店鋪),住商用,鋼筋混凝土造,0971105,201.35000000000002,0,0,0,無,有,無,53560,266,坡道平面,0.0,0,,RPTNMLOKQHJGFEE88CC,,有,1130801~1180731,有,,
左營區,租賃房屋,高雄市左營區果峰街１６號１５樓,0.0,,,,1130813,土地0建物1車位0,十五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0741129,108.05,3,2,2,有,有,有,18000,167,,0.0,0,,RPUNMLOKQHJGFEE98CC,整棟(戶)出租,有,1130815~1140814,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
楠梓區,租賃房屋+車位,高雄市楠梓區惠正街２０９號７樓,0.0,,,,1130813,土地0建物1車位1,七層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1120428,103.71,2,1,1,有,有,有,18500,178,坡道平面,18.0,0,租金總額含管理費；,RPVNMLOKQHJGFEE09CC,整棟(戶)出租,有,1130815~1140814,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
左營區,租賃房屋,高雄市左營區南屏路２６８巷４４號４樓之１,0.0,,,,1130802,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790714,160.49,3,2,2,有,有,有,15000,93,,0.0,0,,RPWNMLOKQHJGFEE56CC,整棟(戶)出租,有,1130805~1140804,有,熱水器、瓦斯或天然氣,社會住宅包租轉租
左營區,租賃房屋,高雄市左營區勵志中街１８號,11.57,住,,,1130809,土地1建物1車位0,一層,15,住宅大樓(11層含以上有電梯),店舖、集合住宅,鋼筋混凝土造,1110329,88.64,0,0,0,無,有,無,42000,474,,0.0,0,,RPXNMLOKQHJGFEE66CC,,有,1130823~1140822,有,,
岡山區,租賃房屋,高雄市岡山區中山南路４６７號,264.9,住,,,1130813,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1061113,19.83,15,15,15,有,無,有,12000,605,,0.0,0,,RPPNMLOKQHJGFFE58CC,分租套房,無,1130820~1140819,有,冷氣、熱水器、洗衣機、電視機、冰箱,
橋頭區,租賃房屋,高雄市橋頭區經武路１１３０巷１２３號十二樓,0.0,,,,1130722,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100128,87.05,2,2,1,有,有,有,14500,167,,0.0,0,含機車停車位1個多人共同承租2；未租賃車位，建物登記含有車位面積；,RPQNMLOKQHJGFFE68CC,整棟(戶)出租,有,1130816~1140815,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
岡山區,租賃房屋,高雄市岡山區岡榮路１２巷４２之１號,0.0,,,,1130813,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0680725,96.72,2,2,2,有,無,有,15000,155,,0.0,0,,RPRNMLOKQHJGFFE78CC,整棟(戶)出租,無,1130910~1140909,無,冷氣、熱水器、洗衣機、冰箱,
燕巢區,租賃房屋,高雄市燕巢區橫山路９２號三樓之７,0.0,,,,1130809,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1070820,29.62,1,0,1,有,無,有,5800,196,,0.0,0,,RPSNMLOKQHJGFFE88CC,獨立套房,無,1130809~1140808,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
