鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
太平區,房地(土地+建物),臺中市太平區大源十八街１１號,100.19,,鄉村區,乙種建築用地,1130811,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0680610,102.6,3,2,2,有,無,13200000,128655,,0.0,0,其他增建；,RPVNMLTKQHJGFJB07DA,102.6,0.0,0.0,無,
太平區,房地(土地+建物)+車位,臺中市太平區樹孝路６號十六樓之６,15.24,商,,,1130803,土地1建物1車位1,十六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051007,171.47,3,2,2,有,有,16200000,94477,坡道平面,36.4,0,,RPUOMLKKRHJGFJB88DA,78.68,2.55,8.42,有,0065
太平區,房地(土地+建物),臺中市太平區長億八街２號二樓,27.0,住,,,1130803,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821230,124.46,3,2,2,有,有,8000000,64278,,0.0,0,,RPOOMLLKRHJGFJB38DA,89.34,3.13,10.55,有,0066
龍井區,土地,新庄段561地號,216.03,,鄉村區,乙種建築用地,1130820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,18550000,85868,,0.0,0,,RPPNMLLKRHJGFKB48DA,0.0,0.0,0.0,無,
龍井區,房地(土地+建物),臺中市龍井區遊園南路４５０巷５８弄３２號,71.18,,一般農業區,丙種建築用地,1130815,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0691200,124.7,3,2,2,有,無,7900000,63352,,0.0,0,,RPUPMLLKRHJGFKB56DA,124.7,0.0,0.0,無,0067
北區,房地(土地+建物),臺中市北區中清路一段１４６號,96.4,都市：其他:第一種商業區,,,1130822,土地2建物1車位0,全,一層,透天厝,商業用,鋼架造,0721224,69.5,0,0,2,有,無,9600000,138129,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKKRHJGFBB67EA,69.5,0.0,0.0,無,
北屯區,土地,平田段588地號,20.2,都市：其他:第二種住宅區,,,1130808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2200000,108911,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKKRHJGFBB77EA,0.0,0.0,0.0,無,
北屯區,房地(土地+建物)+車位,臺中市北屯區信平路１２８號三樓之８,18.05,都市：其他:第二種創新研發專用區,,,1130813,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120927,97.41,2,1,1,有,有,15300000,190984,坡道平面,26.2,1700000,,RPQOMLPKQHJGFBB08DA,43.43,0.0,3.49,有,
北區,房地(土地+建物),臺中市北區篤行路３５８之１巷１６號２樓,9.47,都市：其他:第二種住宅區,,,1130819,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831101,47.93,1,1,1,有,有,3600000,75110,,0.0,0,其他增建；,RPXOMLTKQHJGFBB56DA,32.54,0.0,2.25,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路三段６６８號九樓之３,16.9,都市：其他:第二種商業區,,,1130808,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070914,176.15,3,2,2,有,有,23520000,133523,坡道平面,26.83,0,,RPOPMLQLQHJGFBB18DA,90.8,0.0,10.79,有,0068
北屯區,車位,臺中市北屯區遼寧路一段１２８號等公共設施,0.0,,,,1130828,土地0建物1車位1,,,其他,,,,10.01,0,0,0,無,有,760000,,坡道機械,10.01,760000,建物坐落地號：平田段100地號；僅車位交易；,RPOOMLKKRHJGFBB47DA,0.0,0.0,0.0,有,0069
北屯區,房地(土地+建物),臺中市北屯區中清路二段５８號,98.8,都市：其他:第四種商業區,,,1130806,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0681004,263.36,5,3,4,有,無,32600000,123785,,0.0,0,其他增建；,RPTOMLKKRHJGFBB97DA,263.36,0.0,0.0,無,
北區,房地(土地+建物),臺中市北區大德街１９３巷１７之６號,10.3,都市：其他:第二種住宅區,,,1130804,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701226,33.88,1,1,1,有,無,3360000,99174,,0.0,0,陽台外推；頂樓加蓋；,RPRPMLLKRHJGFBB97DA,26.38,0.0,6.43,無,0070
北屯區,房地(土地+建物),臺中市北屯區崇興路一段１５０號二樓,24.0,都市：其他:第二種住宅區,,,1130802,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701118,104.02,3,2,2,有,有,5600000,53836,,0.0,0,,RPUNMLMKRHJGFBB18DA,94.94,0.0,9.08,無,
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路一段６３１號６樓之３,51.21,都市：其他:第二種商業區,,,1130804,土地1建物1車位1,六層,二十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0800627,612.34,15,1,0,有,有,26000000,42460,坡道平面,0.0,0,,RPWOMLMKRHJGFBB48DA,317.78,0.0,63.69,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區惠來路三段２４８號五樓之２,13.41,住,,,1130803,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910104,153.88,3,2,2,有,有,18080000,129346,坡道平面,26.47,1600000,其他增建；,RPPNMLNJQHJGFCB67DA,78.27,3.92,13.78,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區朝馬路１６６號十一樓之３,14.59,商,,,1130809,土地1建物1車位1,十一層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060116,234.3,4,2,2,有,有,32300000,142804,坡道平面,18.62,1500000,,RPQNNLTJQHJGFCB48DA,123.42,7.78,11.55,有,0071
南屯區,房地(土地+建物)+車位,臺中市南屯區春安路７８號二十一樓之６,9.99,住,,,1130812,土地2建物1車位1,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130304,117.5,2,2,1,有,有,12000000,102128,坡道平面,33.71,0,,RPVPMLKLQHJGFCB38DA,51.26,0.0,5.5,有,0072
西屯區,房地(土地+建物),臺中市西屯區四川三街７９號,174.0,住,,,1130809,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0731221,195.31,6,2,3,有,無,21000000,107521,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPPNMLLJRHJGFCB57DA,171.81,13.88,9.62,無,
南屯區,房地(土地+建物)+車位,臺中市南屯區文心南三路５６９號九樓之１,26.34,商,,,1130811,土地1建物1車位2,九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051203,263.09,4,2,2,有,有,36800000,139876,坡道平面,60.92,0,,RPXRMLMJRHJGFCB88DA,117.32,3.79,14.68,有,0073
