鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
名間鄉,土地,名山段115地號,66.22,,特定農業區,水利用地,1130529,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,150000,2265,,0.0,0,,RPPNMLQJRHJGFAM09EA,0.0,0.0,0.0,無,
埔里鎮,土地,籃城段1120-1地號,17.51,,鄉村區,乙種建築用地,1130514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,480000,27413,,0.0,0,,RPRNMLLKRHJGFCM98DA,0.0,0.0,0.0,無,
水里鄉,土地,新郡坑段225-4地號,1673.43,,山坡地保育區,農牧用地,1130530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200811,120,,0.0,0,每分地以新台幣12萬元計算。,RPPNMLMKRHJGFEM09DA,0.0,0.0,0.0,無,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮坪巷９之４８號十二樓之１,27.97,,鄉村區,乙種建築用地,1130520,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130501,118.6,2,2,1,有,有,7050000,59886,坡道機械,15.07,850000,預售屋、或土地及建物分件登記案件；,RPOOMLQJRHJGFBM09DA,60.7,0.0,7.25,有,
埔里鎮,土地,梅林段186地號,2408.92,都市：其他:農業區,,,1130513,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,41590000,17265,,0.0,0,農作物；,RPXNMLSJQHJGFCM47DA,0.0,0.0,0.0,無,
埔里鎮,土地,梅林段445地號,218.93,都市：其他:農業區,,,1130513,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6600000,30147,,0.0,0,附贈道路及溝渠用路梅林段442，444地號二筆土地未登記建物；農作物；,RPPOMLSJQHJGFCM76DA,0.0,0.0,0.0,無,
中寮鄉,土地,義民段375地號,430.24,住,,,1130427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7000000,16270,,0.0,0,,RPWNMLMJRHJGFAM66DA,0.0,0.0,0.0,無,
集集鎮,土地,文昌段340地號,224.05,住,,,1130324,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4910000,21915,,0.0,0,,RPPNMLSJRHJGFEM96DA,0.0,0.0,0.0,無,
中寮鄉,土地,分水寮段371地號,14979.0,,山坡地保育區,農牧用地,1130301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6190000,413,,0.0,0,,RPSOMLMKMHJGFAM58DA,0.0,0.0,0.0,無,031
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮坪巷９之４８號十一樓之１,27.97,,鄉村區,乙種建築用地,1130314,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130501,118.6,2,2,1,有,有,7250000,61818,坡道機械,15.07,850000,預售屋、或土地及建物分件登記案件；,RPVNMLQJRHJGFBM07DA,60.7,0.0,7.25,有,
南投市,土地,內新段56地號,343.2,住,,,1130219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,26462000,77104,,0.0,0,,RPXNMLQJLHJGFAM56DA,0.0,0.0,0.0,無,
南投市,土地,光大段747地號,476.39,住,,,1130126,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,22100000,46391,,0.0,0,,RPRNMLKKRHJGFAM68DA,0.0,0.0,0.0,無,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮坪巷９之４８號八樓之１,31.79,,鄉村區,乙種建築用地,1121224,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130501,132.28,3,2,2,有,有,7600000,57589,坡道機械,15.07,850000,預售屋、或土地及建物分件登記案件；,RPVOMLOJRHJGFBM96DA,68.46,0.0,8.44,有,
南投市,房地(土地+建物),南投縣南投市順溪北路一段６巷１號,7134.94,,山坡地保育區,農牧用地,1121220,土地2建物1車位0,全,一層,透天厝,農業用,鋼骨造,0981231,120.0,0,1,0,有,無,40000000,333333,,0.0,0,,RPTNMLQKRHJGFAM86DA,120.0,0.0,0.0,無,
南投市,土地,軍功段94地號,230.96,,鄉村區,乙種建築用地,1120103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4290000,18575,,0.0,0,未登記建物；,RPSNMLPJKIIGFAM48DA,0.0,0.0,0.0,無,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮坪巷９之４８號十二樓之３,26.17,,鄉村區,乙種建築用地,1110415,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130501,112.34,2,2,1,有,有,6500000,58086,坡道機械,15.07,850000,預售屋、或土地及建物分件登記案件；,RPQOMLQJRHJGFBM66DA,56.85,0.0,7.08,有,
南投市,房地(土地+建物)+車位,南投縣南投市彰南路一段８６３號二樓之１,49.74,住,,,1110326,土地2建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130326,208.05,4,2,2,有,有,12060000,61521,坡道平面,29.9,1100000,預售屋、或土地及建物分件登記案件；,RPQNMLTJRHJGFAM76DA,108.81,0.0,10.74,有,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮坪巷９之４８號九樓之７,34.44,,鄉村區,乙種建築用地,1090803,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130501,157.31,3,2,2,有,有,7500000,50314,坡道平面,30.11,1100000,,RPTNMLQJRHJGFBM86DA,75.6,0.0,8.04,有,
