編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXNMLTKRHJGFAT28DA,,180.48,工場﹝廠﹞,鋼骨造,113年5月3日,一層,一層,全筆移轉
RPRNMLQJRHJGFAT27DA,,56.31,集合住宅,鋼筋混凝土造,113年1月31日,五層,三層 陽台,全筆移轉
RPRNMLQJRHJGFAT27DA,,22.38,本件共有部分項目：機電設備、電樓梯間、停車空間、樓梯間等共４項。,鋼筋混凝土造,113年1月31日,五層,,持分移轉
RPSOMLPJQHJGFAT27DA,,102.71,集合住宅,鋼筋混凝土造,113年5月29日,六層,五層 陽台,全筆移轉
RPSOMLPJQHJGFAT27DA,,43.19,本共有部分之項目有停車空間、消防機房、電信室、安全梯樓梯間、昇降機道、梯廳、機械室梯間、電梯機房梯間,鋼筋混凝土造,113年5月29日,六層,,持分移轉
RPTOMLPJQHJGFAT37DA,,102.71,集合住宅,鋼筋混凝土造,113年5月29日,六層,四層 陽台,全筆移轉
RPTOMLPJQHJGFAT37DA,,43.19,本共有部分之項目有停車空間、消防機房、電信室、安全梯樓梯間、昇降機道、梯廳、機械室梯間、電梯機房梯間,鋼筋混凝土造,113年5月29日,六層,,持分移轉
RPUOMLPJQHJGFAT47DA,,103.31,集合住宅,鋼筋混凝土造,113年5月29日,六層,五層 陽台,全筆移轉
RPUOMLPJQHJGFAT47DA,,43.19,本共有部分之項目有停車空間、消防機房、電信室、安全梯樓梯間、昇降機道、梯廳、機械室梯間、電梯機房梯間,鋼筋混凝土造,113年5月29日,六層,,持分移轉
RPWOMLPJQHJGFAT67DA,,102.71,集合住宅,鋼筋混凝土造,113年5月29日,六層,五層 陽台,全筆移轉
RPWOMLPJQHJGFAT67DA,,43.19,本共有部分之項目有停車空間、消防機房、電信室、安全梯樓梯間、昇降機道、梯廳、機械室梯間、電梯機房梯間,鋼筋混凝土造,113年5月29日,六層,,持分移轉
RPVNMLLMPHJGFDT57DA,1,152.46,集合住宅,鋼筋混凝土造,112年8月29日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPWQMLQJQHJGFAT97DA,17,255.31,住家用,鋼筋混凝土造,96年8月16日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPTNMLLMPHJGFDT37DA,1,92.19,集合住宅,鋼筋混凝土造,112年12月22日,五層,二層 陽台,全筆移轉
RPTNMLLMPHJGFDT37DA,1,40.63,本共有部分之項目有騎樓、停車空間、公共梯間、電信室、樓梯間、機械室等６項,鋼筋混凝土造,112年12月22日,五層,,持分移轉
RPWNMLTJRHJGFET48DA,33,147.16,住家用,鋼筋混凝土造,80年10月28日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPVNMLQJRHJGFAT67DA,38,143.63,住家用,鋼筋混凝土造,75年7月31日,三層,一層 二層 三層 屋頂突出物 騎樓,全筆移轉
RPPNMLOJRHJGFCT07DA,,59.41,集合住宅,鋼筋混凝土造,113年6月26日,七層,七層 陽台,全筆移轉
RPPNMLOJRHJGFCT07DA,,26.50,本共有部分之項目有管委會使用空間，消防發電機室，安全梯，無障礙昇降機，電信室，機電設備空間，停車空間及樓梯間等八項。,鋼筋混凝土造,113年6月26日,七層,,持分移轉
RPUOMLLLQHJGFAT27DA,2,59.77,集合住宅,鋼筋混凝土造,111年5月9日,六層,二層 陽台,全筆移轉
RPUOMLLLQHJGFAT27DA,2,41.39,樓梯間及停車空間,鋼筋混凝土造,111年5月9日,六層,,持分移轉
RPPNMLTJRHJGFAT37DA,,95.24,集合住宅,鋼筋混凝土造,113年1月31日,五層,五層 陽台,全筆移轉
RPPNMLTJRHJGFAT37DA,,43.56,公共梯間、電信室、騎樓、停車空間、樓梯間、機械房,鋼筋混凝土造,113年1月31日,五層,,持分移轉
RPRNMLKMQHJGFET27DA,45,103.20,住家用,鋼筋混凝土加強磚造,68年11月30日,二層,一層 二層 騎樓,全筆移轉
RPSOMLMLQHJGFAT17DA,19,172.50,住商用,鋼筋混凝土造,94年11月8日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓,全筆移轉
RPSOMLTJRHJGFAT77DA,,136.77,集合住宅,鋼筋混凝土造,113年1月3日,五層,二層 陽台,全筆移轉
RPSOMLTJRHJGFAT77DA,,58.68,電梯間、梯廳、樓梯間、停車空間,鋼筋混凝土造,113年1月3日,五層,,持分移轉
RPRNMLQLOHJGFCT37DA,1,254.23,騎樓、住宅,鋼筋混凝土造,112年8月3日,三層,一層 二層 三層 陽台 騎樓,全筆移轉
RPWNMLNLQHJGFAT57DA,12,259.42,住商用,鋼筋混凝土造,101年6月19日,四層,一層 二層 三層 四層 陽台 屋頂突出物 雨遮,全筆移轉
RPTQMLQJQHJGFAT67DA,46,79.20,住家用,加強磚造,67年10月5日,二層,一層 二層,全筆移轉
RPVOMLTLPHJGFAT08DA,,111.39,集合住宅,鋼筋混凝土造,113年1月31日,十三層,一層 陽台 見其他登記事項,全筆移轉
RPVOMLTLPHJGFAT08DA,,123.12,本共有部分之項目：陽台、停車空間兼防空避難室、台電配電室、機電空間、蓄水池、樓梯間、排煙室、水錶室、機房、水箱、機械室等１１項。,鋼筋混凝土造,113年1月31日,十三層,,持分移轉
RPQNMLLKRHJGFAT76DA,32,89.47,集合住宅,鋼筋混凝土造,81年2月13日,七層,一層 平台,全筆移轉
