編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLMKQHJGFLE98CC,34,173.29,見使用執照,鋼筋混凝土造,79年10月5日,三層,,
RPQNMLMKQHJGFLE09CC,16,6.90,樓梯間、騎樓、走道、緊急發電機室、機械室、水箱,鋼筋混凝土造,97年12月19日,六層,,
RPSNMLMKQHJGFGE78CC,43,118.50,住商用,鋼筋混凝土造,70年12月1日,三層,,
RPPNMLMKQHJGFJE78CC,39,18.66,住商用,鋼筋混凝土造,74年4月17日,三層,,
RPRNMLMKQHJGFLE56CC,16,10.14,辦公室,鋼筋混凝土造,97年12月19日,六層,,
RPRNMLMKQHJGFLE56CC,16,7.60,樓梯間、騎樓、走道、緊急發電機室、機械室、水箱,鋼筋混凝土造,97年12月19日,六層,,
RPSNMLMKQHJGFLE66CC,8,9.42,集合住宅,鋼筋混凝土造,105年2月1日,五層,,
RPSNMLMKQHJGFLE66CC,8,4.30,集合住宅,鋼筋混凝土造,105年2月1日,五層,,
RPPNMLNKQHJGFAE97CC,2,84.91,集合住宅,鋼筋混凝土,111年7月28日,十五層,,
RPPNMLNKQHJGFAE97CC,2,69.85,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、門廳、門廊、車道、樓梯間、機械室、水箱等共８項。,鋼筋混凝土,111年7月28日,十五層,,
RPQNMLNKQHJGFAE08CC,43,11.25,,鋼筋混凝土造,70年6月20日,五層,,
RPSNMLNKQHJGFAE28CC,45,34.96,,鋼筋混凝土造,68年8月31日,十層,,
RPRNMLNKQHJGFAE18CC,1,253.61,集合住宅,鋼筋混凝土,112年10月18日,五層,,
RPWNMLNKQHJGFAE68CC,1,253.61,集合住宅,鋼筋混凝土,112年10月18日,五層,,
RPXNMLNKQHJGFAE78CC,29,23.53,住家用,鋼筋混凝土造,84年8月21日,十二層,,
RPVNMLNKQHJGFAE58CC,4,70.99,集合住宅,鋼筋混凝土,110年2月5日,二十八層,,
RPVNMLNKQHJGFAE58CC,4,83.13,共有部分項目：防空避難室兼停車空間、樓梯間、電氣設備室、機械室、水箱、供管委會使用空間、防災中心、出入口緩衝空間、門廳、車道、陽台等１１項。,鋼筋混凝土,110年2月5日,二十八層,,
RPXNMLNKQHJGFAE78CC,29,6.91,見使用執照,鋼筋混凝土造,84年8月21日,十二層,,
RPTNMLNKQHJGFAE38CC,42,82.63,住家用,鋼筋混凝土造,71年8月18日,十一層,,
RPPOMLNKQHJGFAE08CC,41,21.08,,鋼筋混凝土造,72年6月1日,十二層,,
RPQOMLNKQHJGFAE18CC,30,23.91,住家用,鋼筋混凝土造,83年9月15日,十三層,,
RPQOMLNKQHJGFAE18CC,30,9.61,見使用執照,鋼筋混凝土造,83年9月15日,十三層,,
RPROMLNKQHJGFAE28CC,42,87.89,,鋼筋混凝土造,71年11月29日,五層,,
RPOOMLNKQHJGFAE97CC,38,25.59,,鋼筋混凝土造,75年2月17日,十六層,,
RPOOMLNKQHJGFAE97CC,38,8.40,,鋼筋混凝土造,75年2月17日,十六層,,
