鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
頭份市,房地(土地+建物)+車位,苗栗縣頭份市八德一路,31.85,住,,,1130813,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.29,2,2,1,有,無,13880000,131260,升降機械,10.25,880000,,RPTNMLKKRHJGFFK56CB,和美樂靜,3F-E3號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市八德一路,31.53,住,,,1130813,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.43,2,2,1,有,無,12480000,119366,升降機械,10.25,880000,,RPPNMLLKRHJGFFK88CB,和美樂靜,2F-C2號,
頭份市,房地(土地+建物),苗栗縣頭份市八德一路,38.42,住,,,1130813,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.2,3,2,2,有,無,16820000,139933,,0.0,0,,RPWNMLLKRHJGFFK96CB,和美樂靜,3F-A3號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市八德一路,24.74,住,,,1130813,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.38,2,2,1,有,無,9760000,120981,升降機械,10.98,880000,,RPXNMLLKRHJGFFK07CB,和美樂靜,4F-F4號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市八德一路,31.85,住,,,1130813,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,121.0,2,2,1,有,無,12560000,106163,升降機械,10.98,880000,,RPOOMLLKRHJGFFK88CB,和美樂靜,4F-E4號,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮民生路,23.11,住,,,1130818,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.43,2,2,2,有,無,8380000,115698,,0.0,0,,RPPNMLMKRHJGFDK78CB,民生1號,5F-G號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮民生路,39.47,住,,,1130819,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,139.29,3,2,2,有,無,14680000,105859,一樓平面,13.84,1400000,,RPPNMLNKRHJGFDK88CB,民生1號,3F-B號,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮民生路,24.55,住,,,1130819,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,77.03,2,2,2,有,無,8270000,107361,,0.0,0,,RPQNMLNKRHJGFDK98CB,民生1號,3F-D號,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮民生路,16.44,住,,,1130819,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,51.58,1,1,1,有,無,5880000,113998,,0.0,0,,RPRNMLNKRHJGFDK09CB,民生1號,2F-E號,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮民生路,23.11,住,,,1130820,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.28,2,2,2,有,無,7880000,109020,,0.0,0,,RPSNMLNKRHJGFDK56CB,民生1號,2F-C號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮環市路一段,19.37,住,,,1130820,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.61,2,2,2,有,無,14980000,134985,坡道平面,23.34,1850000,,RPRNMLQKRHJGFDK76CB,雙學苑,4F-B號,
