鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區中山路５９之４號十一樓,11.0,住,,,1130808,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870629,128.46,2,1,1,有,有,10500000,81738,坡道平面,0.0,0,,RPQNMLTJRHJGFEH76EA,57.66,0.0,10.1,有,
桃園區,房地(土地+建物),桃園市桃園區大興西路二段５５號五樓之２,10.6,住,,,1130824,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850713,66.53999999999999,3,2,2,有,有,7500000,112714,,0.0,0,夾層；,RPUNMLRLQHJGFAH56DA,53.19,1.24,2.94,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區桃鶯路５０之２號三樓,12.02,商,,,1130807,土地2建物1車位1,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050713,125.46,2,1,1,有,有,15600000,124342,坡道平面,27.47,0,,RPRNMLSLQHJGFAH98DA,61.76,1.69,3.15,有,0023
桃園區,房地(土地+建物)+車位,桃園市桃園區中正路１０７１號十八樓之７,37.35,住,,,1130830,土地1建物2車位2,十八層,二十層,住宅大樓(11層含以上有電梯),辦公用,鋼骨造,0810123,426.93,6,1,0,有,有,38680000,90600,坡道平面,0.0,0,,RPQOMLTLQHJGFAH09DA,303.09,0.0,21.6,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區春日路１１１２巷１弄１２號八樓,17.87,住,,,1130811,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900716,147.84,3,2,2,有,有,9800000,66288,升降機械,0.0,0,,RPURMLQJRHJGFAH76DA,88.37,1.82,17.62,有,
桃園區,車位,桃園市桃園區大有路１６５號等,0.0,,,,1130810,土地0建物1車位1,,,其他,,,,37.84,0,0,0,無,有,1220000,,坡道平面,37.84,1220000,建物坐落地號：忠義段699地號；僅車位交易；,RPUVMLQJRHJGFAH17DA,0.0,0.0,0.0,有,
中壢區,房地(土地+建物),桃園市中壢區龍勇路１０號,79.09,住,,,1130803,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840420,261.71,4,3,3,有,無,14900000,56933,,0.0,0,其他增建；,RPVTMLSLQHJGFBH47DA,212.85,48.86,0.0,無,
中壢區,房地(土地+建物),桃園市中壢區芝芭里２３、２４、２５號,290.82,,特定農業區,甲種建築用地,1130801,土地1建物1車位0,全,一層,透天厝,住家用,土造,,13.75,3,2,2,有,無,26391000,1919345,,0.0,0,,RPOUMLTLQHJGFBH96DA,13.75,0.0,0.0,無,0024
中壢區,房地(土地+建物),桃園市中壢區三光路１３巷１２號三樓,30.0,住,,,1130821,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700602,98.6,3,2,1,有,無,6000000,60852,,0.0,0,,RPPNMLKMQHJGFBH18DA,79.6,0.0,19.0,無,0025
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路７０號七樓,20.48,住,,,1130811,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130515,136.05,2,2,1,有,有,13400000,98493,坡道平面,34.42,0,,RPRQMLOJRHJGFBH88DA,58.58,0.0,8.0,有,0026
